image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140BCD,0.00%
test001_2.jpg,B2407UZO,B2407UZ0,12.50%
test001_3.jpg,B2842PKM,B2842PKM,0.00%
test002_1.jpg,BG1352AE,BG1352AE,0.00%
test003_1.jpg,B2634UZF,B'2634UZF,12.50%
test003_2.jpg,B1995JVK,B1995JVK,0.00%
test004_1.jpg,B9062VEH,89062VEH,12.50%
test005_1.jpg,DD8798KM,DD2798KM,12.50%
test006_1.jpg,T1329KC,T1329KC,0.00%
test007_1.jpg,AD8865EE,AD8865EE,0.00%
test008_1.jpg,DK1157AAB,DK1157AAB,0.00%
test008_2.jpg,AA1997FE,AA1997FE,0.00%
test009_1.jpg,H8518NA,H8518NA,0.00%
test009_2.jpg,K1649GB,K1649GB,0.00%
test010_1.jpg,B9416PCN,B9416PCN,0.00%
test010_2.jpg,H1147UY,H1147UY,0.00%
test011_1.jpg,H1691IL,H1691IL,0.00%
test011_2.jpg,B9374RI,B937481,28.57%
test011_3.jpg,D1204AIG,D1204AIG,0.00%
test012_1.jpg,E1887BA,E1887BA,0.00%
test013_1.jpg,B1439UZP,B1439UZP,0.00%
test013_2.jpg,B1128WOS,"B1,128W0S",25.00%
test014_1.jpg,B1388DFX,B1388DFX,0.00%
test015_1.jpg,AD1798BT,AD1798BT,0.00%
test016_1.jpg,E1517DQ,E1517DO,14.29%
test017_1.jpg,AD8982FS,AD8982FS,0.00%
test018_1.jpg,L7603UA,L7603-UA,14.29%
test019_1.jpg,AD7HS,AD7HS,0.00%
test019_2.jpg,B1959WYK,B1959WYK,0.00%
test020_1.jpg,AG8634EK,AG'8634EK,12.50%
test020_2.jpg,AD1329PY,AD1328PY,12.50%
test021_1.jpg,BA1709DW,BA1709DW,0.00%
test021_2.jpg,W1236VZ,W1236VZ,0.00%
test022_1.jpg,W1825OZ,W18250Z,14.29%
test022_2.jpg,L1202UE,L·1202·UE,28.57%
test022_3.jpg,L3823IB,3823IB,14.29%
test023_1.jpg,B1730JLO,B1730JL0,12.50%
test024_1.jpg,B2964TRU,B2964TRU,0.00%
test025_1.jpg,S5585LP,S5585LP,0.00%
test025_2.jpg,L2858RR,L285BRR,14.29%
test025_3.jpg,W1185ZO,W1185Z0,14.29%
test025_4.jpg,9840VU,9840VU,0.00%
test026_1.jpg,N9652DF,9652DF,14.29%
test026_2.jpg,L3836ZX,3836ZX,14.29%
test027_1.jpg,N1905IG,N1905IG,0.00%
test027_2.jpg,B1109CLR,B1109CLR,0.00%
test027_3.jpg,L1840AA,L1840AA,0.00%
test028_1.jpg,L1438EO,L1438E0,14.29%
test028_2.jpg,L1436AAA,L1436AAJ,12.50%
test029_1.jpg,W1518WF,W1516,42.86%
test029_2.jpg,G1986N,G1986,16.67%
test029_3.jpg,L1588OO,L158800,28.57%
test029_4.jpg,L1436AAA,L1436AAA,0.00%
test030_1.jpg,S8062NF,8062NF,14.29%
test030_2.jpg,G1894TE,G1894TE,0.00%
test031_1.jpg,L1560JQ,L1560JQ,0.00%
test031_2.jpg,L1568QO,L156800,28.57%
test031_3.jpg,L1932AAZ,L'1932AAZ,12.50%
test032_1.jpg,B2754SKY,B'2754SKY,12.50%
test032_2.jpg,W1192K,W'1192K,16.67%
test033_1.jpg,L4561VK,L4561VK,0.00%
test033_2.jpg,L2693GA,L2693CA,14.29%
test033_3.jpg,W9847G,9847G,16.67%
test033_4.jpg,L1762ABJ,L1762ABJ,0.00%
test034_1.jpg,L1811SU,L1811SU,0.00%
test034_2.jpg,W1167VO,M1167VB,28.57%
test034_3.jpg,S6131OCF,61310CF,25.00%
test034_4.jpg,L2570AAD,L2570AAD,0.00%
test035_1.jpg,L9643NN,L9643NN,0.00%
test035_2.jpg,L5247GI,5247CI,28.57%
test035_3.jpg,L2498AAM,L2498AAM,0.00%
test035_4.jpg,W1696YO,W1696YO,0.00%
test036_1.jpg,B1231JJA,B1231JJA,0.00%
test036_2.jpg,B1618UAE,B1618UAE0826,50.00%
test037_1.jpg,L1775VO,L1775V0,14.29%
test037_2.jpg,L300RX,L300RX,0.00%
test037_3.jpg,L1879VG,L1879VG,0.00%
test038_1.jpg,D1523YCN,D1523YCN,0.00%
test038_2.jpg,L1877ACU,L1877ACU,0.00%
test039_1.jpg,L1069VK,L1069VK,0.00%
test040_1.jpg,S1595LL,S1595LL,0.00%
test041_1.jpg,B1231JJA,B1231JJA,0.00%
test042_1.jpg,AD1174SF,AD1174SF,0.00%
test043_1.jpg,W1898YW,W1898YW,0.00%
test043_2.jpg,W1470PG,W1470PG,0.00%
test044_1.jpg,L1930KF,L1930KF,0.00%
test044_2.jpg,N1004HE,N1004HE,0.00%
test045_1.jpg,S1347LJ,S1347LJ,0.00%
test046_1.jpg,L1470ABK,L1470ABK,0.00%
test046_2.jpg,L1265MX,L1265MX,0.00%
test047_1.jpg,N1524SY,N1524SY,0.00%
test047_2.jpg,L1678ACE,L1678ACE,0.00%
test048_1.jpg,L9316BC,9316BC,14.29%
